resenhas,abandonos,relendo,querem_ler,lendo,leram,favoritos,desejados,trocam,avaliaram
0,0,0,10,1,26,0,6,1,16
2,0,1,7,2,25,2,2,1,20
0,3,0,31,6,39,1,1,3,28
9,3,0,123,6,143,13,43,1,87
2,2,1,87,2,67,5,18,6,38
4,2,1,241,5,469,21,69,2,252
2,8,0,273,4,435,21,63,4,223
1,0,0,27,4,24,2,8,0,16
1,1,0,34,1,20,1,8,2,15
18,27,3,781,47,678,62,212,4,348
0,0,0,25,0,22,1,1,2,14
4,6,0,305,4,328,28,75,7,176
3,2,0,28,1,30,3,9,2,18
1,0,0,20,1,50,4,3,1,26
1,1,0,43,1,68,11,10,2,48
4,4,3,87,9,487,52,25,9,258
0,1,0,31,2,14,0,9,3,7
0,2,0,38,1,37,1,3,2,19
3,0,0,37,2,18,0,8,0,19
0,0,0,9,0,34,2,2,1,19
0,0,0,3,5,28,2,1,0,14
0,5,0,33,1,27,2,4,2,13
0,0,0,64,3,44,4,14,1,29
0,4,0,56,0,40,4,7,7,30
0,1,0,25,2,19,0,2,2,10
1,6,0,175,21,74,5,44,1,41
2,4,0,23,1,29,2,3,5,23
4,6,0,37,12,103,3,7,2,62
1,0,0,35,2,49,3,9,4,24
16,10,2,170,6,1.362,87,56,12,724
0,0,0,10,0,22,1,2,2,12
0,0,1,6,3,32,3,1,0,20
0,2,0,14,1,27,0,3,0,12
0,1,0,34,1,12,2,6,1,9
0,0,1,31,0,22,2,5,1,14
1,1,0,160,8,15,5,15,1,6
0,0,0,16,4,8,1,0,0,4
0,0,0,8,3,12,0,2,2,6
1,1,0,13,1,38,2,6,2,22
0,0,0,29,0,28,1,5,1,15
3,3,0,157,12,34,7,17,0,20
0,0,0,10,0,32,0,1,5,20
2,1,0,24,2,14,0,4,1,8
0,1,1,35,1,17,6,7,4,9
0,0,0,13,0,16,0,3,3,8
0,0,0,1,0,9,0,3,0,5
7,1,0,172,13,115,8,14,2,77
0,0,0,29,1,18,1,7,1,11
0,0,0,13,0,13,0,1,3,14
0,0,0,15,2,12,0,6,0,7
0,0,0,12,0,15,1,2,2,8
0,2,0,3,0,30,0,1,5,16
0,0,1,16,0,6,1,1,0,5
0,1,0,3,0,33,3,4,1,18
1,3,0,127,4,25,2,15,1,11
0,1,1,49,6,34,0,6,3,13
0,0,0,7,0,11,0,1,1,9
3,1,0,55,0,37,5,9,7,22
0,0,0,3,0,4,1,0,0,3
0,0,0,7,1,7,2,0,2,5
0,0,0,13,0,22,2,1,1,18
2,0,0,53,0,83,7,17,0,68
0,1,0,22,1,15,2,7,1,11
0,0,1,45,5,13,1,8,1,7
0,0,0,3,0,3,1,2,0,2
0,1,1,7,0,7,0,1,1,5
0,0,0,6,1,5,0,2,0,3
2,0,0,40,2,15,2,12,1,11
0,0,0,6,1,12,0,1,2,9
0,0,0,5,0,6,1,1,1,4
2,5,0,157,5,164,9,46,4,93
136,89,10,2.813,90,5.724,672,677,42,3.558
121,116,12,3.559,108,3.030,637,1.168,7,1.912
29,7,0,1.474,10,1.863,95,554,3,1.171
22,40,3,815,25,1.426,29,49,92,727
2,19,0,147,6,177,11,35,3,106
25,20,0,909,26,508,76,257,2,316
12,36,0,808,25,760,58,212,7,394
2,1,0,28,1,54,4,7,2,39
1,1,0,36,0,46,3,8,1,20
46,64,11,2.661,261,3.169,277,842,12,1.756
19,24,1,1.246,32,489,96,469,2,327
50,51,4,679,40,1.863,120,81,40,1.019
1,4,0,185,2,51,1,50,1,33
3,4,1,113,9,91,6,15,1,39
12,3,2,342,6,226,58,123,4,151
6,4,0,354,22,313,33,82,1,157
8,8,1,345,31,290,21,59,2,177
1,0,0,152,1,350,12,44,2,180
0,0,0,49,0,135,6,16,0,72
1,1,0,60,2,52,11,11,3,31
16,11,0,397,10,315,21,91,4,196
1,3,0,41,4,76,5,17,4,33
3,5,0,66,1,83,4,15,5,54
0,1,1,22,2,16,0,2,0,9
2,14,2,168,13,208,8,44,5,116
1,1,0,29,1,115,2,9,3,62
2,0,0,39,6,39,1,10,2,26
0,1,0,28,0,27,2,7,4,16
0,1,0,25,2,35,4,5,5,18
0,4,2,112,9,132,13,11,3,69
6,11,0,415,3,321,10,85,10,185
1,1,0,20,0,16,0,7,1,6
1,0,0,21,1,31,2,2,1,17
1,0,0,13,1,21,0,5,1,9
0,1,0,27,0,31,0,7,2,23
1,1,0,14,0,27,1,3,2,23
7,12,4,120,37,609,36,32,5,340
5,0,1,143,4,229,24,48,1,110
0,0,0,11,0,0,1,2,0,2
3,0,0,130,2,70,4,28,1,45
1,2,0,28,2,51,1,2,11,28
10,7,2,233,7,471,15,35,3,275
7,10,1,280,8,606,28,63,7,334
14,17,1,516,21,1.020,58,135,8,585
2,0,0,14,0,23,1,1,1,13
0,0,0,10,0,41,2,3,0,19
1,1,0,58,4,39,8,24,3,23
0,0,0,7,1,6,0,1,2,3
0,4,0,53,1,82,2,5,2,41
2,0,0,47,1,160,5,9,6,78
1,2,0,62,2,39,3,19,1,22
1,0,0,9,0,10,0,2,0,9
0,0,0,13,1,23,2,2,1,13
1,5,0,48,1,17,0,13,1,10
0,2,0,66,4,21,4,19,1,12
2,3,0,36,3,48,5,6,3,24
0,1,0,11,2,8,0,1,2,2
1,0,0,10,0,22,0,1,2,12
2,2,0,28,1,43,3,4,2,27
0,4,0,33,0,29,0,10,2,16
0,1,0,22,1,8,2,1,4,7
0,0,0,8,1,9,0,2,2,3
0,0,0,25,3,16,1,8,1,5
0,1,0,33,2,88,6,6,4,52
1,2,0,20,1,17,1,3,1,10
2,0,0,9,1,56,3,3,1,37
1,2,0,31,5,24,2,5,4,16
0,1,0,10,2,19,1,3,1,12
1,2,2,82,21,153,11,4,6,91
1,2,0,68,1,134,6,16,6,78
1,0,0,5,0,2,0,3,1,1
1,0,0,9,1,22,4,1,4,15
1,0,0,31,1,9,1,11,3,5
1,1,0,29,2,10,1,16,1,7
2,0,0,49,8,29,0,1,1,17
2,0,0,7,1,42,2,2,2,30
1,0,0,29,2,32,5,7,9,19
0,3,1,236,11,51,0,9,3,17
0,2,0,53,1,24,0,17,1,12
1,1,0,21,3,35,1,3,0,19
0,1,0,12,1,14,0,2,1,5
1,1,0,21,3,35,1,3,0,19
1,1,0,36,0,31,5,10,3,20
0,1,0,5,0,26,1,1,1,14
0,1,0,17,1,21,1,6,1,16
1,2,0,16,2,4,0,6,0,3
1,2,0,49,0,93,3,19,1,61
0,0,1,47,2,22,1,1,1,11
2,0,0,100,11,30,1,2,1,13
1,0,0,4,0,11,1,4,1,4
2,1,0,50,2,51,3,17,4,31
0,0,0,8,0,5,0,3,2,2
2,3,0,20,0,45,0,4,3,21
2,2,0,33,0,61,1,10,7,38
0,1,0,30,0,31,1,7,3,20
1,0,1,9,1,10,0,3,0,3
0,1,0,3,0,8,1,1,0,5
1,3,0,16,4,25,0,1,6,17
0,0,0,3,0,8,1,1,1,4
2,1,0,43,4,56,2,9,7,32
0,0,0,22,1,37,1,6,3,16
0,0,1,5,2,13,0,2,0,5
1,1,0,4,0,7,0,2,2,3
2,1,0,58,1,53,8,13,4,32
0,1,0,13,6,22,5,5,1,9
2,0,0,6,0,20,1,5,1,10
0,0,0,7,1,11,0,3,1,8
0,0,0,3,0,4,1,0,0,2
0,0,0,7,0,6,0,3,0,3
0,0,0,1,0,0,0,0,0,0
1,1,0,36,3,18,0,5,3,11
0,0,0,12,0,30,0,2,0,15
0,1,0,12,3,0,1,4,1,1
0,0,0,7,1,21,0,2,2,14
0,0,0,5,0,25,0,2,3,14
0,0,0,3,1,5,0,0,1,6
0,0,0,3,1,9,0,0,1,8
0,0,0,2,1,2,0,0,2,3
0,0,0,8,1,4,0,1,1,2
0,0,0,8,0,6,0,5,0,3
0,0,0,4,0,1,0,3,0,1
0,0,0,8,0,16,0,3,2,13
0,0,0,1,2,1,0,0,0,1
1,0,0,26,1,23,0,11,1,8
3,3,1,126,3,330,13,28,9,164
2,3,1,135,1,369,14,31,5,190
21,10,3,455,10,675,115,163,1,480
8,15,0,249,8,537,16,34,25,285
73,9,0,2.140,27,2.840,151,787,3,1.825
40,3,0,1.527,15,2.057,99,596,3,1.293
78,39,7,1.481,96,2.620,277,333,8,1.631
13,12,1,894,10,1.132,76,258,13,593
5,1,0,36,2,94,5,11,1,58
29,30,1,817,49,2.073,55,78,91,994
0,0,0,1,0,7,1,0,0,4
21,8,0,1.169,29,710,88,390,2,432
31,30,2,909,39,794,136,253,5,548
0,1,0,28,0,38,1,5,3,27
0,1,0,38,2,55,1,9,1,27
1,0,1,18,1,37,2,3,2,17
9,12,0,134,9,210,6,30,1,108
19,4,3,997,40,697,86,227,6,407
4,7,1,423,13,436,29,93,1,237
0,0,0,8,1,6,0,0,2,4
1,1,0,140,1,531,23,43,1,259
19,27,5,923,125,1.154,119,138,2,531
3,1,0,71,0,75,2,19,1,43
0,1,1,6,2,4,1,2,2,3
0,2,1,42,2,22,0,12,1,12
3,5,0,99,12,249,28,22,1,127
0,1,1,65,6,18,4,6,0,12
9,18,7,721,89,364,58,64,2,194
2,4,0,39,1,35,3,4,4,21
4,1,1,63,6,100,9,21,2,71
1,0,0,31,0,39,2,5,1,21
1,2,0,14,1,12,0,4,1,10
3,2,0,67,4,68,6,7,6,43
0,1,0,13,2,11,1,2,1,8
2,3,0,47,2,148,7,3,13,98
25,7,1,1.475,6,1.696,100,560,3,1.073
2,0,0,33,2,56,5,8,5,31
0,1,0,37,3,11,0,3,0,4
1,2,0,33,0,14,2,8,1,10
4,10,0,50,8,320,13,4,9,170
1,1,0,44,0,75,4,9,9,48
0,0,0,18,0,34,1,1,0,16
0,0,0,13,1,38,1,4,0,21
0,0,0,5,0,5,0,0,0,4
4,0,0,46,0,47,2,15,2,28
8,0,0,175,4,210,14,40,3,119
7,4,1,253,37,427,18,17,9,262
1,2,1,119,1,32,1,34,3,19
0,0,0,11,1,17,2,4,2,10
0,0,0,62,1,11,1,16,0,9
1,5,0,12,1,38,1,1,3,29
1,3,0,31,1,44,0,4,8,25
1,0,0,29,1,11,0,3,3,4
0,0,0,0,0,0,0,1,0,0
0,1,0,13,0,8,1,4,2,6
0,4,0,39,1,26,0,5,3,15
1,1,0,3,0,74,1,3,4,38
0,3,0,27,1,65,5,1,2,37
0,3,0,75,2,43,3,7,3,25
0,0,0,36,3,36,1,6,0,17
1,6,0,42,2,45,1,6,7,23
1,0,0,8,0,8,0,2,1,7
0,1,0,26,2,78,2,8,2,27
0,0,0,243,7,37,5,88,1,20
2,0,0,3,0,8,0,1,2,10
0,1,0,6,1,11,1,2,1,6
0,0,0,19,0,44,2,6,0,28
1,3,0,43,0,22,2,7,4,16
2,1,0,108,4,15,4,35,1,22
0,0,0,23,3,20,2,13,0,10
0,1,0,8,1,12,1,3,2,6
3,2,0,126,3,69,7,28,3,36
1,0,1,25,1,16,1,11,0,7
0,1,1,3,1,30,1,3,3,14
2,3,0,55,1,97,2,16,2,51
0,0,0,2,1,0,0,0,0,0
0,4,0,14,1,12,1,2,3,9
0,0,0,8,1,12,2,2,0,9
0,2,0,31,1,20,2,8,1,12
0,1,0,14,2,10,2,2,1,9
0,0,1,46,3,25,1,1,1,12
0,1,0,15,0,9,1,3,1,11
3,0,0,72,8,63,1,11,2,37
1,0,0,21,1,13,2,6,1,6
1,1,0,11,2,14,1,5,0,8
6,3,0,40,0,112,11,5,6,79
0,0,0,8,2,24,3,1,1,17
2,2,0,30,2,41,1,2,8,26
0,1,0,28,0,11,2,8,1,11
0,5,0,27,0,11,2,10,2,9
0,0,0,19,2,10,1,5,1,7
0,0,0,82,5,12,1,7,1,3
0,1,0,4,0,4,0,0,1,2
1,1,0,19,3,25,4,4,4,20
1,0,0,31,1,50,1,8,3,32
0,0,0,4,0,6,0,0,0,2
0,1,0,30,1,17,1,9,1,11
0,0,0,7,0,6,0,4,0,2
0,0,1,17,1,66,1,7,2,38
1,0,0,13,0,22,1,2,0,16
0,0,0,0,0,11,0,0,1,3
0,0,0,10,0,3,0,2,1,0
1,0,0,3,0,11,2,1,1,5
0,0,1,210,14,20,5,15,1,7
0,1,0,12,1,37,0,3,0,20
0,0,0,13,0,6,0,6,0,4
1,0,0,2,0,2,0,0,1,1
0,0,0,11,0,6,0,3,0,7
0,0,0,2,0,1,0,1,1,0
0,0,0,6,0,5,0,0,0,5
0,1,1,121,5,16,2,4,0,3
1,0,0,27,0,50,1,7,4,23
0,1,0,11,0,6,0,3,0,5
0,2,0,33,1,57,1,1,7,40
0,0,0,75,2,17,1,10,2,9
0,0,0,2,0,6,2,1,1,5
0,0,0,18,0,11,0,3,2,8
0,1,0,37,0,26,1,2,5,21
528,1.566,126,32.310,1.226,53.838,3.865,3.522,341,21.717
0,2,0,114,0,304,6,26,8,145
0,0,1,122,1,369,12,33,5,176
43,50,0,1.436,19,2.029,145,404,15,1.091
7,0,0,102,1,671,29,31,4,316
3,6,0,174,20,191,6,37,2,87
0,0,0,7,1,16,2,4,1,11
0,3,0,32,0,107,4,8,1,52
0,8,0,51,2,190,7,15,4,92
8,1,1,194,6,372,25,55,4,223
12,5,2,188,4,1.462,46,59,8,699
4,1,1,120,5,975,33,44,4,463
2,0,1,131,3,746,26,43,4,363
9,2,0,135,5,200,16,53,1,136
1,0,0,174,13,27,5,12,0,11
0,2,0,25,6,37,1,4,1,20
39,10,0,1.694,31,885,46,208,9,537
2,0,0,43,5,27,1,5,0,21
2,3,0,47,5,207,22,16,2,124
1,3,0,60,1,177,18,13,5,105
1,0,0,66,0,161,19,10,4,94
27,47,2,855,56,1.597,37,37,96,856
5,2,1,54,2,515,16,23,19,274
1,1,0,22,0,188,0,6,11,99
4,4,0,127,3,72,8,25,6,40
2,0,1,54,4,107,4,3,2,48
4,1,0,72,0,75,5,8,7,52
2,9,0,48,4,35,0,3,7,16
2,3,0,41,0,55,3,3,5,32
4,1,0,68,2,71,5,13,3,58
0,0,0,18,1,14,0,6,1,8
0,1,0,36,1,22,0,9,1,13
3,2,0,28,0,49,3,7,4,32
7,3,0,154,7,269,21,30,5,170
2,3,0,73,6,23,3,14,3,16
0,0,1,17,2,77,4,4,0,38
1,3,0,13,1,10,0,6,2,8
2,7,0,77,4,35,6,17,4,20
10,4,1,344,8,707,44,99,4,354
7,3,1,362,7,543,38,96,1,280
11,1,0,365,5,520,41,91,4,270
3,3,0,79,2,113,2,13,2,63
1,2,0,31,0,55,4,2,4,31
0,0,0,24,3,11,0,3,0,6
0,0,0,19,0,3,0,0,0,3
1,0,0,18,1,45,3,2,3,23
2,0,2,443,29,32,4,3,1,13
0,10,0,57,8,43,1,2,10,25
0,0,0,3,2,25,1,1,2,12
1,1,0,10,0,21,1,2,0,10
1,3,0,26,1,42,3,4,6,28
0,6,4,338,22,103,6,26,3,34
0,0,0,36,5,31,1,5,1,21
0,0,0,18,1,15,0,9,0,11
0,3,0,26,2,21,0,2,3,16
0,0,0,28,0,29,1,6,0,9
0,0,0,2,1,16,1,1,3,14
0,0,0,97,8,30,1,15,1,16
37,13,1,1.476,43,519,98,487,3,376
1,0,0,32,3,29,2,5,0,17
3,1,0,77,1,53,0,9,1,31
1,4,0,74,3,31,2,14,2,16
0,2,0,16,1,17,1,3,3,13
2,1,1,66,1,51,4,6,5,37
2,2,1,45,1,33,2,3,3,21
1,1,0,19,1,88,0,7,1,42
1,5,0,237,7,50,6,46,1,35
2,1,1,45,5,102,7,8,1,62
1,1,0,41,3,30,3,4,2,21
0,1,0,14,1,6,0,2,0,6
5,1,0,256,7,109,8,59,1,99
1,1,0,36,0,109,3,8,8,45
0,2,0,18,0,14,0,6,2,9
206,486,33,2.715,194,24.914,1.162,500,342,11.018
1,3,0,25,3,36,1,6,2,16
0,2,0,5,0,6,0,0,2,3
0,0,0,25,0,99,2,9,5,50
0,1,0,22,5,8,0,0,0,7
0,1,0,5,0,11,0,1,0,6
0,0,0,11,0,3,0,3,1,3
1,0,0,67,5,25,0,21,1,17
0,0,0,12,0,8,1,1,2,5
0,1,1,59,2,87,4,14,4,43
0,0,0,16,1,7,0,4,1,6
0,0,0,13,1,10,3,2,1,10
0,0,0,1,0,14,2,0,1,6
0,3,0,126,5,17,3,15,1,10
0,1,0,20,1,11,1,1,3,8
1,1,0,34,1,69,2,8,6,37
0,1,0,3,0,12,1,1,1,6
1,1,1,26,2,20,3,3,1,18
1,0,0,1,0,5,0,0,1,1
1,2,0,25,1,47,1,1,9,35
0,1,0,13,2,5,0,1,1,4
1,1,0,26,2,19,1,7,0,15
0,1,0,7,0,25,2,0,5,13
0,0,0,5,2,4,0,0,0,3
2,0,0,0,1,21,3,0,1,16
0,2,0,47,2,14,0,9,2,12
0,2,1,78,3,12,1,10,1,10
0,1,0,32,1,6,1,4,1,3
2,2,0,25,3,31,1,4,1,23
3,1,1,30,0,37,1,5,5,27
2,1,0,11,0,11,0,2,1,6
1,0,1,19,0,7,0,2,3,4
6,2,0,107,16,76,8,7,2,39
0,0,0,14,3,6,0,3,1,4
0,0,0,2,1,6,1,0,0,2
0,0,0,4,0,1,0,2,0,1
0,0,0,25,1,13,0,5,0,5
0,0,0,4,1,1,0,2,0,1
1,4,0,137,1,586,18,36,16,276
1,4,0,124,4,492,5,24,13,218
2,2,3,147,1,535,22,36,7,271
1,1,0,118,3,442,13,29,11,187
3,1,0,135,0,470,14,35,5,233
1,2,0,61,4,100,5,13,4,57
13,31,1,412,6,999,29,87,13,552
22,44,1,1.092,25,1.936,145,303,7,923
21,7,1,409,6,475,28,113,9,305
0,1,0,8,1,23,2,5,1,7
2,11,0,63,1,309,11,16,8,156
12,32,1,222,9,1.245,67,35,34,701
0,3,1,50,3,226,13,16,8,112
42,58,6,3.689,71,2.540,274,802,12,1.259
33,35,1,754,31,1.675,24,53,89,849
87,34,1,2.060,124,2.169,222,446,26,1.421
2,5,0,218,3,120,9,37,2,64
0,3,0,90,8,39,2,19,1,15
4,7,0,216,6,177,22,49,11,123
3,4,1,429,11,226,17,96,2,124
11,16,1,474,50,532,50,107,2,233
0,1,1,38,0,152,7,11,3,77
0,0,0,27,1,37,4,5,2,22
8,2,1,159,1,163,32,34,2,108
1,0,0,33,2,46,3,6,2,27
8,2,1,59,12,89,3,6,4,53
1,0,0,8,0,66,2,2,1,25
2,3,1,50,5,191,7,8,3,99
3,3,0,74,5,111,12,23,2,73
4,8,0,104,2,139,8,27,5,84
2,1,0,64,1,113,6,9,7,75
3,2,0,47,0,70,16,16,0,49
10,4,2,138,5,158,19,38,1,115
3,1,0,120,1,245,14,28,5,142
2,4,1,88,4,96,3,17,5,58
1,0,0,18,1,8,1,1,3,4
2,3,0,39,2,28,4,14,0,14
0,1,0,78,1,35,1,13,2,18
0,0,0,13,2,3,0,1,0,2
0,1,0,25,2,30,0,2,1,17
0,0,0,2,0,7,0,0,0,4
4,0,0,40,1,54,5,13,1,35
4,7,0,37,2,73,1,6,9,37
0,0,0,11,0,34,0,2,0,21
0,1,0,35,1,10,0,16,0,5
0,0,0,15,0,21,1,3,0,10
2,0,0,34,0,19,1,6,1,14
4,3,0,288,3,237,9,93,4,128
0,3,0,19,0,17,0,2,8,12
1,0,0,2,1,16,0,2,4,11
1,1,0,30,3,66,1,7,5,41
6,6,0,250,17,286,28,87,1,174
1,2,0,50,7,18,0,5,6,11
3,0,2,56,3,250,10,10,2,131
1,2,0,18,2,38,1,2,3,19
2,10,0,49,8,42,5,4,2,33
0,2,1,55,3,220,7,14,3,107
3,4,0,106,2,96,4,25,5,67
2,0,0,16,3,18,1,0,0,10
0,0,1,57,4,23,0,4,1,12
0,2,0,24,1,28,1,2,2,19
2,6,0,35,4,97,9,6,5,66
24,16,0,584,39,1.193,44,106,8,604
9,46,3,333,53,927,37,42,32,466
0,5,0,31,4,40,4,4,4,22
1,2,0,45,0,79,3,8,3,36
0,0,0,24,1,56,0,5,2,18
0,2,0,24,0,56,1,5,2,19
0,0,0,28,0,39,1,5,3,14
0,0,0,29,0,43,1,5,1,17
0,0,1,27,1,41,1,5,1,14
0,0,0,27,1,44,0,5,1,15
0,0,0,27,0,25,0,5,0,9
1,13,0,169,6,89,8,43,8,51
1,0,0,43,2,36,3,7,4,22
2,0,0,7,2,53,3,1,2,26
0,0,0,21,2,19,1,10,0,10
1,3,0,27,1,13,1,3,5,5
0,0,1,19,0,64,2,6,4,34
0,0,0,21,0,90,0,7,1,42
0,1,0,30,1,22,2,16,0,16
1,0,0,4,0,37,2,2,0,24
2,1,0,14,1,27,2,4,2,16
0,5,0,18,3,50,2,2,4,28
0,2,0,50,1,159,3,10,11,84
0,2,0,8,0,5,1,2,0,4
1,0,1,13,3,40,3,2,1,23
0,0,0,52,1,8,3,19,0,4
0,1,0,2,2,6,0,0,0,4
0,0,0,12,1,62,0,4,2,34
1,1,0,12,0,92,1,5,2,49
3,2,1,25,1,29,4,4,2,18
4,1,1,44,1,161,8,12,3,83
3,1,3,133,8,82,10,32,3,46
1,0,0,4,0,16,0,1,2,6
0,1,0,5,0,17,2,2,1,9
3,3,0,57,7,75,3,4,6,44
0,0,0,0,0,6,0,0,0,2
1,0,0,1,0,2,0,0,0,3
0,1,0,12,1,10,0,3,2,8
0,1,0,16,1,9,0,0,2,4
1,1,0,45,0,98,3,13,3,64
0,2,0,6,1,21,1,3,4,15
3,10,0,19,4,35,3,2,9,24
2,3,0,48,2,40,2,5,6,26
1,0,0,6,0,8,1,1,1,9
0,0,0,3,1,1,0,0,1,1
0,0,0,2,0,6,0,0,0,5
0,0,0,4,0,3,0,0,0,3
2,5,1,227,38,56,17,40,2,43
0,0,0,1,0,0,0,0,0,0
0,1,0,20,4,14,1,2,3,7
0,1,0,3,1,11,0,0,2,5
2,0,0,27,2,94,8,9,7,50
0,0,0,11,1,20,2,0,2,12
0,1,0,27,0,26,5,4,0,16
0,0,0,7,1,8,0,0,1,6
0,3,0,8,2,21,1,1,4,14
0,2,0,8,0,38,0,1,2,15
4,1,0,134,4,57,7,15,3,47
0,1,0,66,4,7,1,12,0,2
0,2,0,5,1,9,1,0,1,6
0,1,0,5,0,7,0,1,3,6
0,2,0,12,1,12,0,1,1,4
2,0,0,9,3,24,2,1,0,12
0,3,0,7,2,2,0,0,6,2
77,55,1,1.797,133,1.402,161,482,18,948
0,0,0,8,0,1,1,1,0,2
0,0,0,22,0,8,1,1,2,3
0,0,1,116,1,17,3,14,1,11
0,0,0,3,1,5,0,0,1,2
2,3,1,53,1,28,1,8,7,19
0,0,0,1,1,1,0,1,0,1
0,0,0,0,1,2,0,0,0,4
1,1,0,25,2,28,3,5,0,15
19,9,1,244,7,748,38,49,6,438
4,1,2,131,2,746,18,47,9,372
4,28,0,245,7,452,17,37,8,216
45,7,1,1.293,29,820,30,171,12,541
2,3,0,106,13,72,7,8,2,26
39,17,2,655,27,1.458,114,210,3,818
24,9,5,334,11,1.256,106,122,7,690
17,6,1,351,10,910,66,101,4,482
7,7,0,594,22,142,17,167,1,96
16,32,0,747,13,1.056,78,198,6,545
12,4,4,526,59,559,47,80,5,312
0,0,0,7,0,7,0,0,1,4
0,1,1,97,9,20,1,7,1,13
9,2,0,447,16,280,39,154,2,191
5,10,0,41,7,61,1,3,5,38
2,4,0,89,6,75,11,26,1,42
0,8,0,16,1,38,1,1,8,22
0,1,0,33,1,25,1,8,1,14
1,1,0,18,2,34,0,6,5,21
0,1,0,17,1,9,2,4,1,6
4,3,0,131,1,104,5,29,11,58
1,1,0,88,7,42,7,28,1,25
0,11,0,18,1,55,4,0,3,33
0,0,0,52,6,13,1,6,1,5
0,4,0,38,6,35,2,5,1,20
0,2,0,20,0,28,3,3,3,13
2,0,0,21,3,20,2,5,5,14
2,3,0,30,1,55,2,1,5,38
0,2,0,69,2,27,2,8,0,10
0,0,0,10,0,7,0,0,1,3
4,1,0,127,2,166,6,38,6,99
1,1,0,18,1,25,0,4,2,19
1,1,0,37,0,45,1,6,1,22
4,1,0,47,0,54,1,4,2,31
0,1,0,36,1,17,1,10,0,11
0,0,0,22,2,33,0,2,3,15
1,0,0,1,0,8,0,0,0,5
0,1,0,51,4,49,1,5,2,25
1,1,0,87,5,64,7,18,1,30
5,3,0,138,3,723,15,34,9,327
0,4,1,19,1,113,3,6,3,49
5,1,0,156,3,154,12,36,3,110
1,1,0,98,4,89,8,21,2,59
0,0,0,1,0,3,1,0,0,1
0,0,0,18,0,14,1,4,4,10
1,2,1,81,5,47,4,11,1,29
1,1,0,20,0,84,1,6,1,34
1,3,2,52,0,198,9,11,6,95
7,5,0,318,3,221,12,62,4,125
0,0,0,42,0,13,0,6,0,3
0,2,0,55,0,14,2,6,1,6
0,2,0,30,2,23,1,5,1,9
2,1,1,15,1,12,0,3,0,6
0,0,0,0,0,4,0,0,0,2
0,3,0,14,0,72,1,6,2,27
0,1,0,5,0,7,0,4,0,4
1,3,1,44,1,71,0,7,4,40
1,3,1,258,17,60,12,30,1,27
2,2,1,82,10,78,4,11,5,44
2,1,0,131,15,30,6,15,1,20
2,1,0,153,2,82,7,57,3,61
0,2,0,28,1,93,10,3,2,46
0,1,0,33,0,61,0,7,3,20
0,1,1,24,0,64,1,4,2,28
0,2,0,44,2,37,2,13,3,22
0,2,0,36,0,22,1,7,1,15
0,3,0,38,1,78,0,3,5,28
1,3,0,21,2,37,0,8,2,19
0,1,0,19,1,46,1,0,6,27
0,1,1,36,6,40,2,2,4,20
1,0,0,22,2,45,0,3,4,27
1,2,0,15,3,34,0,8,1,20
0,41,2,95,16,331,3,10,7,112
0,1,0,61,1,49,3,13,4,26
1,0,0,4,1,15,1,1,2,17
1,1,0,193,22,40,4,16,1,18
1,9,0,384,25,80,12,95,1,47
1,3,0,16,1,28,1,3,2,12
0,1,1,87,2,9,0,3,0,2
0,1,0,17,2,20,1,3,2,10
2,2,0,100,14,45,7,12,3,27
2,1,0,23,1,22,4,3,4,17
0,0,0,5,0,7,0,3,0,3
0,1,0,122,7,9,2,26,1,6
1,1,0,3,0,7,0,1,0,4
0,0,0,11,1,9,0,3,1,5
0,1,1,85,13,21,2,16,0,6
0,1,0,20,0,67,3,6,0,32
0,0,0,7,0,37,0,4,1,16
0,0,0,4,0,9,3,2,0,6
0,0,0,34,0,14,5,16,1,7
0,2,0,156,22,69,12,32,1,44
19,4,3,997,40,697,86,227,6,407
0,0,0,0,0,4,1,0,0,3
0,1,0,8,0,12,0,2,1,5
1,1,0,6,0,32,2,2,0,18
1,3,0,28,1,35,3,2,4,20
1,1,0,21,1,7,0,2,2,3
0,1,0,8,0,7,0,0,1,3
1,0,1,7,2,12,4,1,1,11
0,0,0,5,0,13,0,0,1,3
0,1,0,2,3,15,0,1,3,7
0,2,0,15,0,27,1,1,1,16
0,0,0,22,0,6,0,3,1,2
1,0,0,10,0,9,1,3,1,7
0,1,0,29,1,17,3,6,2,10
0,0,0,7,0,7,0,2,0,6
1,1,0,17,0,7,1,2,1,3
0,4,0,17,4,63,0,3,6,23
0,1,0,36,0,85,5,2,7,52
0,0,0,40,2,17,3,6,1,8
3,1,0,32,1,42,0,5,10,22
0,5,0,142,1,650,24,43,13,322
3,1,1,275,9,809,24,64,14,385
2,4,0,122,6,618,14,35,11,303
8,7,3,364,25,215,36,76,1,139
198,195,14,3.695,424,6.933,1.295,875,15,4.068
38,47,2,958,75,2.224,214,204,10,1.168
37,31,3,914,54,1.803,144,179,15,934
37,31,3,914,54,1.803,144,179,15,934
11,10,2,365,17,812,71,99,5,458
97,85,7,3.018,81,4.186,546,700,15,2.638
22,20,2,612,24,825,88,163,7,493
0,0,0,2,0,16,1,2,0,9
45,62,2,2.560,45,2.846,177,363,38,1.490
3,6,0,110,7,134,12,29,2,69
14,35,0,521,19,1.442,33,64,53,663
31,109,0,859,72,1.247,80,144,23,674
31,109,0,859,72,1.247,80,144,23,674
